START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
05/08/15,06:10 PM,07:10 PM,Twins at Indians,Progressive Field,,05/08/15,05/08/15,09:10 PM,10:10 PM,FALSE,TRUE,05/08/15,05:10 PM,06:10 PM,FREE,BUSY
05/09/15,03:10 PM,04:10 PM,Twins at Indians,Progressive Field,,05/09/15,05/09/15,06:10 PM,07:10 PM,FALSE,TRUE,05/09/15,02:10 PM,03:10 PM,FREE,BUSY
05/10/15,12:10 PM,01:10 PM,Twins at Indians,Progressive Field,,05/10/15,05/10/15,03:10 PM,04:10 PM,FALSE,TRUE,05/10/15,11:10 AM,12:10 PM,FREE,BUSY
05/12/15,06:08 PM,07:08 PM,Twins at Tigers,Comerica Park,"Local Radio: BOB FM",05/12/15,05/12/15,09:08 PM,10:08 PM,FALSE,TRUE,05/12/15,05:08 PM,06:08 PM,FREE,BUSY
05/13/15,06:08 PM,07:08 PM,Twins at Tigers,Comerica Park,,05/13/15,05/13/15,09:08 PM,10:08 PM,FALSE,TRUE,05/13/15,05:08 PM,06:08 PM,FREE,BUSY
05/14/15,12:08 PM,01:08 PM,Twins at Tigers,Comerica Park,,05/14/15,05/14/15,03:08 PM,04:08 PM,FALSE,TRUE,05/14/15,11:08 AM,12:08 PM,FREE,BUSY
05/15/15,07:10 PM,08:10 PM,Rays at Twins,Target Field,,05/15/15,05/15/15,10:10 PM,11:10 PM,FALSE,TRUE,05/15/15,06:10 PM,07:10 PM,FREE,BUSY
05/16/15,01:10 PM,02:10 PM,Rays at Twins,Target Field,,05/16/15,05/16/15,04:10 PM,05:10 PM,FALSE,TRUE,05/16/15,12:10 PM,01:10 PM,FREE,BUSY
05/17/15,01:10 PM,02:10 PM,Rays at Twins,Target Field,"Local Radio: BOB FM",05/17/15,05/17/15,04:10 PM,05:10 PM,FALSE,TRUE,05/17/15,12:10 PM,01:10 PM,FREE,BUSY
05/19/15,06:05 PM,07:05 PM,Twins at Pirates,PNC Park,"Local Radio: BOB FM",05/19/15,05/19/15,09:05 PM,10:05 PM,FALSE,TRUE,05/19/15,05:05 PM,06:05 PM,FREE,BUSY
