START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/06/15,01:10 PM,02:10 PM,Rockies at Brewers,Miller Park,,04/06/15,04/06/15,04:10 PM,05:10 PM,FALSE,TRUE,04/06/15,12:10 PM,01:10 PM,FREE,BUSY
04/07/15,07:10 PM,08:10 PM,Rockies at Brewers,Miller Park,,04/07/15,04/07/15,10:10 PM,11:10 PM,FALSE,TRUE,04/07/15,06:10 PM,07:10 PM,FREE,BUSY
04/08/15,03:33 AM,03:33 AM,Rockies at Brewers,Miller Park,,04/08/15,04/08/15,06:33 AM,06:33 AM,FALSE,TRUE,04/08/15,02:33 AM,02:33 AM,FREE,BUSY
04/10/15,07:10 PM,08:10 PM,Pirates at Brewers,Miller Park,,04/10/15,04/10/15,10:10 PM,11:10 PM,FALSE,TRUE,04/10/15,06:10 PM,07:10 PM,FREE,BUSY
04/11/15,03:33 AM,03:33 AM,Pirates at Brewers,Miller Park,,04/11/15,04/11/15,06:33 AM,06:33 AM,FALSE,TRUE,04/11/15,02:33 AM,02:33 AM,FREE,BUSY
04/12/15,01:10 PM,02:10 PM,Pirates at Brewers,Miller Park,,04/12/15,04/12/15,04:10 PM,05:10 PM,FALSE,TRUE,04/12/15,12:10 PM,01:10 PM,FREE,BUSY
04/13/15,03:15 PM,04:15 PM,Brewers at Cardinals,Busch Stadium,,04/13/15,04/13/15,06:15 PM,07:15 PM,FALSE,TRUE,04/13/15,02:15 PM,03:15 PM,FREE,BUSY
04/15/15,07:15 PM,08:15 PM,Brewers at Cardinals,Busch Stadium,,04/15/15,04/15/15,10:15 PM,11:15 PM,FALSE,TRUE,04/15/15,06:15 PM,07:15 PM,FREE,BUSY
04/16/15,12:45 PM,01:45 PM,Brewers at Cardinals,Busch Stadium,,04/16/15,04/16/15,03:45 PM,04:45 PM,FALSE,TRUE,04/16/15,11:45 AM,12:45 PM,FREE,BUSY
04/17/15,06:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,04/17/15,04/17/15,09:05 PM,10:05 PM,FALSE,TRUE,04/17/15,05:05 PM,06:05 PM,FREE,BUSY
04/18/15,06:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,04/18/15,04/18/15,09:05 PM,10:05 PM,FALSE,TRUE,04/18/15,05:05 PM,06:05 PM,FREE,BUSY
04/19/15,12:35 PM,01:35 PM,Brewers at Pirates,PNC Park,,04/19/15,04/19/15,03:35 PM,04:35 PM,FALSE,TRUE,04/19/15,11:35 AM,12:35 PM,FREE,BUSY
04/20/15,06:20 PM,07:20 PM,Reds at Brewers,Miller Park,,04/20/15,04/20/15,09:20 PM,10:20 PM,FALSE,TRUE,04/20/15,05:20 PM,06:20 PM,FREE,BUSY
04/21/15,07:10 PM,08:10 PM,Reds at Brewers,Miller Park,,04/21/15,04/21/15,10:10 PM,11:10 PM,FALSE,TRUE,04/21/15,06:10 PM,07:10 PM,FREE,BUSY
04/22/15,07:10 PM,08:10 PM,Reds at Brewers,Miller Park,,04/22/15,04/22/15,10:10 PM,11:10 PM,FALSE,TRUE,04/22/15,06:10 PM,07:10 PM,FREE,BUSY
04/23/15,12:40 PM,01:40 PM,Reds at Brewers,Miller Park,,04/23/15,04/23/15,03:40 PM,04:40 PM,FALSE,TRUE,04/23/15,11:40 AM,12:40 PM,FREE,BUSY
04/24/15,07:10 PM,08:10 PM,Cardinals at Brewers,Miller Park,,04/24/15,04/24/15,10:10 PM,11:10 PM,FALSE,TRUE,04/24/15,06:10 PM,07:10 PM,FREE,BUSY
04/25/15,03:33 AM,03:33 AM,Cardinals at Brewers,Miller Park,,04/25/15,04/25/15,06:33 AM,06:33 AM,FALSE,TRUE,04/25/15,02:33 AM,02:33 AM,FREE,BUSY
04/26/15,01:10 PM,02:10 PM,Cardinals at Brewers,Miller Park,,04/26/15,04/26/15,04:10 PM,05:10 PM,FALSE,TRUE,04/26/15,12:10 PM,01:10 PM,FREE,BUSY
04/27/15,03:33 AM,03:33 AM,Brewers at Reds,Great American Ball Park,,04/27/15,04/27/15,06:33 AM,06:33 AM,FALSE,TRUE,04/27/15,02:33 AM,02:33 AM,FREE,BUSY
04/28/15,03:33 AM,03:33 AM,Brewers at Reds,Great American Ball Park,,04/28/15,04/28/15,06:33 AM,06:33 AM,FALSE,TRUE,04/28/15,02:33 AM,02:33 AM,FREE,BUSY
04/29/15,03:33 AM,03:33 AM,Brewers at Reds,Great American Ball Park,,04/29/15,04/29/15,06:33 AM,06:33 AM,FALSE,TRUE,04/29/15,02:33 AM,02:33 AM,FREE,BUSY
05/01/15,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field,,05/01/15,05/01/15,04:20 PM,05:20 PM,FALSE,TRUE,05/01/15,12:20 PM,01:20 PM,FREE,BUSY
05/02/15,03:33 AM,03:33 AM,Brewers at Cubs,Wrigley Field,,05/02/15,05/02/15,06:33 AM,06:33 AM,FALSE,TRUE,05/02/15,02:33 AM,02:33 AM,FREE,BUSY
05/03/15,03:33 AM,03:33 AM,Brewers at Cubs,Wrigley Field,,05/03/15,05/03/15,06:33 AM,06:33 AM,FALSE,TRUE,05/03/15,02:33 AM,02:33 AM,FREE,BUSY
05/04/15,06:20 PM,07:20 PM,Dodgers at Brewers,Miller Park,,05/04/15,05/04/15,09:20 PM,10:20 PM,FALSE,TRUE,05/04/15,05:20 PM,06:20 PM,FREE,BUSY
05/05/15,07:10 PM,08:10 PM,Dodgers at Brewers,Miller Park,,05/05/15,05/05/15,10:10 PM,11:10 PM,FALSE,TRUE,05/05/15,06:10 PM,07:10 PM,FREE,BUSY
05/06/15,07:10 PM,08:10 PM,Dodgers at Brewers,Miller Park,,05/06/15,05/06/15,10:10 PM,11:10 PM,FALSE,TRUE,05/06/15,06:10 PM,07:10 PM,FREE,BUSY
05/07/15,12:40 PM,01:40 PM,Dodgers at Brewers,Miller Park,,05/07/15,05/07/15,03:40 PM,04:40 PM,FALSE,TRUE,05/07/15,11:40 AM,12:40 PM,FREE,BUSY
05/08/15,07:10 PM,08:10 PM,Cubs at Brewers,Miller Park,,05/08/15,05/08/15,10:10 PM,11:10 PM,FALSE,TRUE,05/08/15,06:10 PM,07:10 PM,FREE,BUSY
05/09/15,03:33 AM,03:33 AM,Cubs at Brewers,Miller Park,,05/09/15,05/09/15,06:33 AM,06:33 AM,FALSE,TRUE,05/09/15,02:33 AM,02:33 AM,FREE,BUSY
05/10/15,01:10 PM,02:10 PM,Cubs at Brewers,Miller Park,,05/10/15,05/10/15,04:10 PM,05:10 PM,FALSE,TRUE,05/10/15,12:10 PM,01:10 PM,FREE,BUSY
05/11/15,06:20 PM,07:20 PM,White Sox at Brewers,Miller Park,,05/11/15,05/11/15,09:20 PM,10:20 PM,FALSE,TRUE,05/11/15,05:20 PM,06:20 PM,FREE,BUSY
05/12/15,07:10 PM,08:10 PM,White Sox at Brewers,Miller Park,,05/12/15,05/12/15,10:10 PM,11:10 PM,FALSE,TRUE,05/12/15,06:10 PM,07:10 PM,FREE,BUSY
05/13/15,07:10 PM,08:10 PM,White Sox at Brewers,Miller Park,,05/13/15,05/13/15,10:10 PM,11:10 PM,FALSE,TRUE,05/13/15,06:10 PM,07:10 PM,FREE,BUSY
05/15/15,06:10 PM,07:10 PM,Brewers at Mets,Citi Field,,05/15/15,05/15/15,09:10 PM,10:10 PM,FALSE,TRUE,05/15/15,05:10 PM,06:10 PM,FREE,BUSY
05/16/15,06:10 PM,07:10 PM,Brewers at Mets,Citi Field,,05/16/15,05/16/15,09:10 PM,10:10 PM,FALSE,TRUE,05/16/15,05:10 PM,06:10 PM,FREE,BUSY
05/17/15,12:10 PM,01:10 PM,Brewers at Mets,Citi Field,,05/17/15,05/17/15,03:10 PM,04:10 PM,FALSE,TRUE,05/17/15,11:10 AM,12:10 PM,FREE,BUSY
05/18/15,06:08 PM,07:08 PM,Brewers at Tigers,Comerica Park,,05/18/15,05/18/15,09:08 PM,10:08 PM,FALSE,TRUE,05/18/15,05:08 PM,06:08 PM,FREE,BUSY
05/19/15,06:08 PM,07:08 PM,Brewers at Tigers,Comerica Park,,05/19/15,05/19/15,09:08 PM,10:08 PM,FALSE,TRUE,05/19/15,05:08 PM,06:08 PM,FREE,BUSY
05/20/15,06:08 PM,07:08 PM,Brewers at Tigers,Comerica Park,,05/20/15,05/20/15,09:08 PM,10:08 PM,FALSE,TRUE,05/20/15,05:08 PM,06:08 PM,FREE,BUSY
05/21/15,06:10 PM,07:10 PM,Brewers at Braves,Turner Field,,05/21/15,05/21/15,09:10 PM,10:10 PM,FALSE,TRUE,05/21/15,05:10 PM,06:10 PM,FREE,BUSY
05/22/15,06:35 PM,07:35 PM,Brewers at Braves,Turner Field,,05/22/15,05/22/15,09:35 PM,10:35 PM,FALSE,TRUE,05/22/15,05:35 PM,06:35 PM,FREE,BUSY
05/23/15,06:10 PM,07:10 PM,Brewers at Braves,Turner Field,,05/23/15,05/23/15,09:10 PM,10:10 PM,FALSE,TRUE,05/23/15,05:10 PM,06:10 PM,FREE,BUSY
05/24/15,12:35 PM,01:35 PM,Brewers at Braves,Turner Field,,05/24/15,05/24/15,03:35 PM,04:35 PM,FALSE,TRUE,05/24/15,11:35 AM,12:35 PM,FREE,BUSY
05/25/15,01:10 PM,02:10 PM,Giants at Brewers,Miller Park,,05/25/15,05/25/15,04:10 PM,05:10 PM,FALSE,TRUE,05/25/15,12:10 PM,01:10 PM,FREE,BUSY
05/26/15,07:10 PM,08:10 PM,Giants at Brewers,Miller Park,,05/26/15,05/26/15,10:10 PM,11:10 PM,FALSE,TRUE,05/26/15,06:10 PM,07:10 PM,FREE,BUSY
05/27/15,12:40 PM,01:40 PM,Giants at Brewers,Miller Park,,05/27/15,05/27/15,03:40 PM,04:40 PM,FALSE,TRUE,05/27/15,11:40 AM,12:40 PM,FREE,BUSY
05/29/15,03:33 AM,03:33 AM,D-backs at Brewers,Miller Park,,05/29/15,05/29/15,06:33 AM,06:33 AM,FALSE,TRUE,05/29/15,02:33 AM,02:33 AM,FREE,BUSY
05/30/15,03:33 AM,03:33 AM,D-backs at Brewers,Miller Park,,05/30/15,05/30/15,06:33 AM,06:33 AM,FALSE,TRUE,05/30/15,02:33 AM,02:33 AM,FREE,BUSY
05/31/15,01:10 PM,02:10 PM,D-backs at Brewers,Miller Park,,05/31/15,05/31/15,04:10 PM,05:10 PM,FALSE,TRUE,05/31/15,12:10 PM,01:10 PM,FREE,BUSY
06/01/15,07:15 PM,08:15 PM,Brewers at Cardinals,Busch Stadium,,06/01/15,06/01/15,10:15 PM,11:15 PM,FALSE,TRUE,06/01/15,06:15 PM,07:15 PM,FREE,BUSY
06/02/15,07:15 PM,08:15 PM,Brewers at Cardinals,Busch Stadium,,06/02/15,06/02/15,10:15 PM,11:15 PM,FALSE,TRUE,06/02/15,06:15 PM,07:15 PM,FREE,BUSY
