START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/25/16,10:30 AM,01:30 PM,Angel Stadium Tour,Angel Stadium of Anaheim - Anaheim,"",05/25/16,05/25/16,01:30 PM,04:30 PM,FALSE,TRUE,05/25/16,09:30 AM,12:30 PM,FREE,BUSY
05/25/16,11:05 AM,02:05 PM,Angels at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FS-W ----- Local Radio: KLAA 830",05/25/16,05/25/16,02:05 PM,05:05 PM,FALSE,TRUE,05/25/16,10:05 AM,01:05 PM,FREE,BUSY
05/27/16,07:05 PM,10:05 PM,Astros at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",05/27/16,05/28/16,10:05 PM,01:05 AM,FALSE,TRUE,05/27/16,06:05 PM,09:05 PM,FREE,BUSY
05/28/16,07:05 PM,10:05 PM,Astros at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",05/28/16,05/29/16,10:05 PM,01:05 AM,FALSE,TRUE,05/28/16,06:05 PM,09:05 PM,FREE,BUSY
05/29/16,12:35 PM,03:35 PM,Astros at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",05/29/16,05/29/16,03:35 PM,06:35 PM,FALSE,TRUE,05/29/16,11:35 AM,02:35 PM,FREE,BUSY
05/30/16,06:05 PM,09:05 PM,Tigers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",05/30/16,05/31/16,09:05 PM,12:05 AM,FALSE,TRUE,05/30/16,05:05 PM,08:05 PM,FREE,BUSY
05/31/16,07:05 PM,10:05 PM,Tigers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",05/31/16,06/01/16,10:05 PM,01:05 AM,FALSE,TRUE,05/31/16,06:05 PM,09:05 PM,FREE,BUSY
06/01/16,04:05 PM,07:05 PM,Tigers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",06/01/16,06/01/16,07:05 PM,10:05 PM,FALSE,TRUE,06/01/16,03:05 PM,06:05 PM,FREE,BUSY
06/03/16,10:30 AM,01:30 PM,Angel Stadium Tour,Angel Stadium of Anaheim - Anaheim,"",06/03/16,06/03/16,01:30 PM,04:30 PM,FALSE,TRUE,06/03/16,09:30 AM,12:30 PM,FREE,BUSY
06/03/16,04:05 PM,07:05 PM,Angels at Pirates,PNC Park - Pittsburgh,"Local TV: FS-W ----- Local Radio: KLAA 830",06/03/16,06/03/16,07:05 PM,10:05 PM,FALSE,TRUE,06/03/16,03:05 PM,06:05 PM,FREE,BUSY
06/04/16,01:05 PM,04:05 PM,Angels at Pirates,PNC Park - Pittsburgh,"Local TV: FS-W ----- Local Radio: KLAA 830",06/04/16,06/04/16,04:05 PM,07:05 PM,FALSE,TRUE,06/04/16,12:05 PM,03:05 PM,FREE,BUSY
06/05/16,10:35 AM,01:35 PM,Angels at Pirates,PNC Park - Pittsburgh,"Local TV: FS-W ----- Local Radio: KLAA 830",06/05/16,06/05/16,01:35 PM,04:35 PM,FALSE,TRUE,06/05/16,09:35 AM,12:35 PM,FREE,BUSY
06/06/16,04:05 PM,07:05 PM,Angels at Yankees,Yankee Stadium - Bronx,"Local TV: FS-W ----- Local Radio: KLAA 830",06/06/16,06/06/16,07:05 PM,10:05 PM,FALSE,TRUE,06/06/16,03:05 PM,06:05 PM,FREE,BUSY
06/07/16,10:30 AM,01:30 PM,Angel Stadium Tour,Angel Stadium of Anaheim - Anaheim,"",06/07/16,06/07/16,01:30 PM,04:30 PM,FALSE,TRUE,06/07/16,09:30 AM,12:30 PM,FREE,BUSY
06/07/16,04:05 PM,07:05 PM,Angels at Yankees,Yankee Stadium - Bronx,"Local TV: FS-W ----- Local Radio: KLAA 830",06/07/16,06/07/16,07:05 PM,10:05 PM,FALSE,TRUE,06/07/16,03:05 PM,06:05 PM,FREE,BUSY
06/08/16,10:30 AM,01:30 PM,Angel Stadium Tour,Angel Stadium of Anaheim - Anaheim,"",06/08/16,06/08/16,01:30 PM,04:30 PM,FALSE,TRUE,06/08/16,09:30 AM,12:30 PM,FREE,BUSY
06/08/16,04:05 PM,07:05 PM,Angels at Yankees,Yankee Stadium - Bronx,"Local TV: FS-W ----- Local Radio: KLAA 830",06/08/16,06/08/16,07:05 PM,10:05 PM,FALSE,TRUE,06/08/16,03:05 PM,06:05 PM,FREE,BUSY
06/09/16,04:05 PM,07:05 PM,Angels at Yankees,Yankee Stadium - Bronx,"Local TV: FS-W ----- Local Radio: KLAA 830",06/09/16,06/09/16,07:05 PM,10:05 PM,FALSE,TRUE,06/09/16,03:05 PM,06:05 PM,FREE,BUSY
06/10/16,07:05 PM,10:05 PM,Indians at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",06/10/16,06/11/16,10:05 PM,01:05 AM,FALSE,TRUE,06/10/16,06:05 PM,09:05 PM,FREE,BUSY
06/11/16,07:05 PM,10:05 PM,Indians at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS1 ----- Local Radio: KLAA 830",06/11/16,06/12/16,10:05 PM,01:05 AM,FALSE,TRUE,06/11/16,06:05 PM,09:05 PM,FREE,BUSY
06/12/16,12:35 PM,03:35 PM,Indians at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",06/12/16,06/12/16,03:35 PM,06:35 PM,FALSE,TRUE,06/12/16,11:35 AM,02:35 PM,FREE,BUSY
06/13/16,07:05 PM,10:05 PM,Twins at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",06/13/16,06/14/16,10:05 PM,01:05 AM,FALSE,TRUE,06/13/16,06:05 PM,09:05 PM,FREE,BUSY
06/14/16,07:05 PM,10:05 PM,Twins at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",06/14/16,06/15/16,10:05 PM,01:05 AM,FALSE,TRUE,06/14/16,06:05 PM,09:05 PM,FREE,BUSY
06/15/16,07:05 PM,10:05 PM,Twins at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",06/15/16,06/16/16,10:05 PM,01:05 AM,FALSE,TRUE,06/15/16,06:05 PM,09:05 PM,FREE,BUSY
06/17/16,10:30 AM,01:30 PM,Angel Stadium Tour,Angel Stadium of Anaheim - Anaheim,"",06/17/16,06/17/16,01:30 PM,04:30 PM,FALSE,TRUE,06/17/16,09:30 AM,12:30 PM,FREE,BUSY
06/17/16,06:35 PM,09:35 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: FS-W ----- Local Radio: KLAA 830",06/17/16,06/18/16,09:35 PM,12:35 AM,FALSE,TRUE,06/17/16,05:35 PM,08:35 PM,FREE,BUSY
06/18/16,01:05 PM,04:05 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: FS-W ----- Local Radio: KLAA 830",06/18/16,06/18/16,04:05 PM,07:05 PM,FALSE,TRUE,06/18/16,12:05 PM,03:05 PM,FREE,BUSY
06/19/16,01:05 PM,04:05 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: FS-W ----- Local Radio: KLAA 830",06/19/16,06/19/16,04:05 PM,07:05 PM,FALSE,TRUE,06/19/16,12:05 PM,03:05 PM,FREE,BUSY
06/20/16,05:10 PM,08:10 PM,Angels at Astros,Minute Maid Park - Houston,"Local TV: FS-W ----- Local Radio: KLAA 830",06/20/16,06/20/16,08:10 PM,11:10 PM,FALSE,TRUE,06/20/16,04:10 PM,07:10 PM,FREE,BUSY
06/21/16,05:10 PM,08:10 PM,Angels at Astros,Minute Maid Park - Houston,"Local TV: FS-W ----- Local Radio: KLAA 830",06/21/16,06/21/16,08:10 PM,11:10 PM,FALSE,TRUE,06/21/16,04:10 PM,07:10 PM,FREE,BUSY
06/22/16,11:10 AM,02:10 PM,Angels at Astros,Minute Maid Park - Houston,"Local TV: FS-W ----- Local Radio: KLAA 830",06/22/16,06/22/16,02:10 PM,05:10 PM,FALSE,TRUE,06/22/16,10:10 AM,01:10 PM,FREE,BUSY
06/23/16,07:05 PM,10:05 PM,Athletics at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",06/23/16,06/24/16,10:05 PM,01:05 AM,FALSE,TRUE,06/23/16,06:05 PM,09:05 PM,FREE,BUSY
06/24/16,07:05 PM,10:05 PM,Athletics at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",06/24/16,06/25/16,10:05 PM,01:05 AM,FALSE,TRUE,06/24/16,06:05 PM,09:05 PM,FREE,BUSY
06/25/16,07:05 PM,10:05 PM,Athletics at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",06/25/16,06/26/16,10:05 PM,01:05 AM,FALSE,TRUE,06/25/16,06:05 PM,09:05 PM,FREE,BUSY
06/26/16,12:35 PM,03:35 PM,Athletics at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",06/26/16,06/26/16,03:35 PM,06:35 PM,FALSE,TRUE,06/26/16,11:35 AM,02:35 PM,FREE,BUSY
