START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/04/16,07:05 PM,10:05 PM,White Sox at Athletics,O.co Coliseum,,04/04/16,04/05/16,10:05 PM,01:05 AM,FALSE,TRUE,04/04/16,06:05 PM,09:05 PM,FREE,BUSY
04/05/16,07:05 PM,10:05 PM,White Sox at Athletics,O.co Coliseum,,04/05/16,04/06/16,10:05 PM,01:05 AM,FALSE,TRUE,04/05/16,06:05 PM,09:05 PM,FREE,BUSY
04/06/16,07:05 PM,10:05 PM,White Sox at Athletics,O.co Coliseum,,04/06/16,04/07/16,10:05 PM,01:05 AM,FALSE,TRUE,04/06/16,06:05 PM,09:05 PM,FREE,BUSY
04/07/16,12:35 PM,03:35 PM,White Sox at Athletics,O.co Coliseum,,04/07/16,04/07/16,03:35 PM,06:35 PM,FALSE,TRUE,04/07/16,11:35 AM,02:35 PM,FREE,BUSY
04/08/16,07:10 PM,10:10 PM,Athletics at Mariners,Safeco Field,,04/08/16,04/09/16,10:10 PM,01:10 AM,FALSE,TRUE,04/08/16,06:10 PM,09:10 PM,FREE,BUSY
04/09/16,06:10 PM,09:10 PM,Athletics at Mariners,Safeco Field,,04/09/16,04/10/16,09:10 PM,12:10 AM,FALSE,TRUE,04/09/16,05:10 PM,08:10 PM,FREE,BUSY
04/10/16,01:10 PM,04:10 PM,Athletics at Mariners,Safeco Field,,04/10/16,04/10/16,04:10 PM,07:10 PM,FALSE,TRUE,04/10/16,12:10 PM,03:10 PM,FREE,BUSY
04/11/16,07:05 PM,10:05 PM,Angels at Athletics,O.co Coliseum,,04/11/16,04/12/16,10:05 PM,01:05 AM,FALSE,TRUE,04/11/16,06:05 PM,09:05 PM,FREE,BUSY
04/12/16,07:05 PM,10:05 PM,Angels at Athletics,O.co Coliseum,,04/12/16,04/13/16,10:05 PM,01:05 AM,FALSE,TRUE,04/12/16,06:05 PM,09:05 PM,FREE,BUSY
04/13/16,12:35 PM,03:35 PM,Angels at Athletics,O.co Coliseum,,04/13/16,04/13/16,03:35 PM,06:35 PM,FALSE,TRUE,04/13/16,11:35 AM,02:35 PM,FREE,BUSY
04/15/16,07:05 PM,10:05 PM,Royals at Athletics,O.co Coliseum,,04/15/16,04/16/16,10:05 PM,01:05 AM,FALSE,TRUE,04/15/16,06:05 PM,09:05 PM,FREE,BUSY
04/16/16,01:05 PM,04:05 PM,Royals at Athletics,O.co Coliseum,,04/16/16,04/16/16,04:05 PM,07:05 PM,FALSE,TRUE,04/16/16,12:05 PM,03:05 PM,FREE,BUSY
04/17/16,01:05 PM,04:05 PM,Royals at Athletics,O.co Coliseum,,04/17/16,04/17/16,04:05 PM,07:05 PM,FALSE,TRUE,04/17/16,12:05 PM,03:05 PM,FREE,BUSY
04/19/16,03:33 AM,03:33 AM,Athletics at Yankees,Yankee Stadium,,04/19/16,04/19/16,06:33 AM,06:33 AM,FALSE,TRUE,04/19/16,02:33 AM,02:33 AM,FREE,BUSY
