START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/31/14,01:05 PM,01:05 PM,Cubs at Pirates,PNC Park,"Local TV: ESPN",03/31/14,03/31/14,04:05 PM,04:05 PM,FALSE,TRUE,03/31/14,12:05 PM,12:05 PM,FREE,BUSY
04/02/14,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,,04/02/14,04/02/14,10:05 PM,10:05 PM,FALSE,TRUE,04/02/14,06:05 PM,06:05 PM,FREE,BUSY
04/03/14,12:35 PM,12:35 PM,Cubs at Pirates,PNC Park,,04/03/14,04/03/14,03:35 PM,03:35 PM,FALSE,TRUE,04/03/14,11:35 AM,11:35 AM,FREE,BUSY
04/04/14,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,,04/04/14,04/04/14,10:05 PM,10:05 PM,FALSE,TRUE,04/04/14,06:05 PM,06:05 PM,FREE,BUSY
04/05/14,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,,04/05/14,04/05/14,10:05 PM,10:05 PM,FALSE,TRUE,04/05/14,06:05 PM,06:05 PM,FREE,BUSY
04/06/14,01:35 PM,01:35 PM,Cardinals at Pirates,PNC Park,,04/06/14,04/06/14,04:35 PM,04:35 PM,FALSE,TRUE,04/06/14,12:35 PM,12:35 PM,FREE,BUSY
04/08/14,08:05 PM,08:05 PM,Pirates at Cubs,Wrigley Field,,04/08/14,04/08/14,11:05 PM,11:05 PM,FALSE,TRUE,04/08/14,07:05 PM,07:05 PM,FREE,BUSY
04/09/14,08:05 PM,08:05 PM,Pirates at Cubs,Wrigley Field,,04/09/14,04/09/14,11:05 PM,11:05 PM,FALSE,TRUE,04/09/14,07:05 PM,07:05 PM,FREE,BUSY
04/10/14,02:20 PM,02:20 PM,Pirates at Cubs,Wrigley Field,,04/10/14,04/10/14,05:20 PM,05:20 PM,FALSE,TRUE,04/10/14,01:20 PM,01:20 PM,FREE,BUSY
04/11/14,08:10 PM,08:10 PM,Pirates at Brewers,Miller Park,,04/11/14,04/11/14,11:10 PM,11:10 PM,FALSE,TRUE,04/11/14,07:10 PM,07:10 PM,FREE,BUSY
04/12/14,07:10 PM,07:10 PM,Pirates at Brewers,Miller Park,,04/12/14,04/12/14,10:10 PM,10:10 PM,FALSE,TRUE,04/12/14,06:10 PM,06:10 PM,FREE,BUSY
04/13/14,02:10 PM,02:10 PM,Pirates at Brewers,Miller Park,,04/13/14,04/13/14,05:10 PM,05:10 PM,FALSE,TRUE,04/13/14,01:10 PM,01:10 PM,FREE,BUSY
04/14/14,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park,,04/14/14,04/14/14,10:10 PM,10:10 PM,FALSE,TRUE,04/14/14,06:10 PM,06:10 PM,FREE,BUSY
04/15/14,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park,,04/15/14,04/15/14,10:10 PM,10:10 PM,FALSE,TRUE,04/15/14,06:10 PM,06:10 PM,FREE,BUSY
04/16/14,12:35 PM,12:35 PM,Pirates at Reds,Great American Ball Park,,04/16/14,04/16/14,03:35 PM,03:35 PM,FALSE,TRUE,04/16/14,11:35 AM,11:35 AM,FREE,BUSY
04/17/14,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,04/17/14,04/17/14,10:05 PM,10:05 PM,FALSE,TRUE,04/17/14,06:05 PM,06:05 PM,FREE,BUSY
04/18/14,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,04/18/14,04/18/14,10:05 PM,10:05 PM,FALSE,TRUE,04/18/14,06:05 PM,06:05 PM,FREE,BUSY
04/19/14,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,04/19/14,04/19/14,10:05 PM,10:05 PM,FALSE,TRUE,04/19/14,06:05 PM,06:05 PM,FREE,BUSY
04/20/14,01:35 PM,01:35 PM,Brewers at Pirates,PNC Park,,04/20/14,04/20/14,04:35 PM,04:35 PM,FALSE,TRUE,04/20/14,12:35 PM,12:35 PM,FREE,BUSY
04/21/14,07:05 PM,07:05 PM,Reds at Pirates,PNC Park,,04/21/14,04/21/14,10:05 PM,10:05 PM,FALSE,TRUE,04/21/14,06:05 PM,06:05 PM,FREE,BUSY
04/22/14,07:05 PM,07:05 PM,Reds at Pirates,PNC Park,,04/22/14,04/22/14,10:05 PM,10:05 PM,FALSE,TRUE,04/22/14,06:05 PM,06:05 PM,FREE,BUSY
04/23/14,07:05 PM,07:05 PM,Reds at Pirates,PNC Park,,04/23/14,04/23/14,10:05 PM,10:05 PM,FALSE,TRUE,04/23/14,06:05 PM,06:05 PM,FREE,BUSY
04/24/14,12:35 PM,12:35 PM,Reds at Pirates,PNC Park,,04/24/14,04/24/14,03:35 PM,03:35 PM,FALSE,TRUE,04/24/14,11:35 AM,11:35 AM,FREE,BUSY
04/25/14,08:15 PM,08:15 PM,Pirates at Cardinals,Busch Stadium,,04/25/14,04/25/14,11:15 PM,11:15 PM,FALSE,TRUE,04/25/14,07:15 PM,07:15 PM,FREE,BUSY
04/26/14,04:05 PM,04:05 PM,Pirates at Cardinals,Busch Stadium,,04/26/14,04/26/14,07:05 PM,07:05 PM,FALSE,TRUE,04/26/14,03:05 PM,03:05 PM,FREE,BUSY
04/27/14,02:15 PM,02:15 PM,Pirates at Cardinals,Busch Stadium,,04/27/14,04/27/14,05:15 PM,05:15 PM,FALSE,TRUE,04/27/14,01:15 PM,01:15 PM,FREE,BUSY
04/29/14,07:05 PM,07:05 PM,Pirates at Orioles,Oriole Park at Camden Yards,,04/29/14,04/29/14,10:05 PM,10:05 PM,FALSE,TRUE,04/29/14,06:05 PM,06:05 PM,FREE,BUSY
