START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/31/14,03:33 AM,03:33 AM,Royals at Tigers,Comerica Park,,03/31/14,03/31/14,06:33 AM,06:33 AM,FALSE,TRUE,03/31/14,02:33 AM,02:33 AM,FREE,BUSY
04/02/14,03:33 AM,03:33 AM,Royals at Tigers,Comerica Park,,04/02/14,04/02/14,06:33 AM,06:33 AM,FALSE,TRUE,04/02/14,02:33 AM,02:33 AM,FREE,BUSY
04/03/14,03:33 AM,03:33 AM,Royals at Tigers,Comerica Park,,04/03/14,04/03/14,06:33 AM,06:33 AM,FALSE,TRUE,04/03/14,02:33 AM,02:33 AM,FREE,BUSY
04/04/14,03:33 AM,03:33 AM,Orioles at Tigers,Comerica Park,,04/04/14,04/04/14,06:33 AM,06:33 AM,FALSE,TRUE,04/04/14,02:33 AM,02:33 AM,FREE,BUSY
04/05/14,03:33 AM,03:33 AM,Orioles at Tigers,Comerica Park,,04/05/14,04/05/14,06:33 AM,06:33 AM,FALSE,TRUE,04/05/14,02:33 AM,02:33 AM,FREE,BUSY
04/06/14,03:33 AM,03:33 AM,Orioles at Tigers,Comerica Park,,04/06/14,04/06/14,06:33 AM,06:33 AM,FALSE,TRUE,04/06/14,02:33 AM,02:33 AM,FREE,BUSY
04/08/14,10:10 PM,10:10 PM,Tigers at Dodgers,Dodger Stadium,,04/09/14,04/09/14,01:10 AM,01:10 AM,FALSE,TRUE,04/08/14,09:10 PM,09:10 PM,FREE,BUSY
04/09/14,10:10 PM,10:10 PM,Tigers at Dodgers,Dodger Stadium,,04/10/14,04/10/14,01:10 AM,01:10 AM,FALSE,TRUE,04/09/14,09:10 PM,09:10 PM,FREE,BUSY
04/11/14,03:33 AM,03:33 AM,Tigers at Padres,Petco Park,,04/11/14,04/11/14,06:33 AM,06:33 AM,FALSE,TRUE,04/11/14,02:33 AM,02:33 AM,FREE,BUSY
04/12/14,03:33 AM,03:33 AM,Tigers at Padres,Petco Park,,04/12/14,04/12/14,06:33 AM,06:33 AM,FALSE,TRUE,04/12/14,02:33 AM,02:33 AM,FREE,BUSY
04/13/14,03:33 AM,03:33 AM,Tigers at Padres,Petco Park,,04/13/14,04/13/14,06:33 AM,06:33 AM,FALSE,TRUE,04/13/14,02:33 AM,02:33 AM,FREE,BUSY
04/15/14,03:33 AM,03:33 AM,Indians at Tigers,Comerica Park,,04/15/14,04/15/14,06:33 AM,06:33 AM,FALSE,TRUE,04/15/14,02:33 AM,02:33 AM,FREE,BUSY
04/16/14,03:33 AM,03:33 AM,Indians at Tigers,Comerica Park,,04/16/14,04/16/14,06:33 AM,06:33 AM,FALSE,TRUE,04/16/14,02:33 AM,02:33 AM,FREE,BUSY
04/17/14,03:33 AM,03:33 AM,Indians at Tigers,Comerica Park,,04/17/14,04/17/14,06:33 AM,06:33 AM,FALSE,TRUE,04/17/14,02:33 AM,02:33 AM,FREE,BUSY
04/18/14,03:33 AM,03:33 AM,Angels at Tigers,Comerica Park,,04/18/14,04/18/14,06:33 AM,06:33 AM,FALSE,TRUE,04/18/14,02:33 AM,02:33 AM,FREE,BUSY
04/19/14,03:33 AM,03:33 AM,Angels at Tigers,Comerica Park,,04/19/14,04/19/14,06:33 AM,06:33 AM,FALSE,TRUE,04/19/14,02:33 AM,02:33 AM,FREE,BUSY
04/20/14,03:33 AM,03:33 AM,Angels at Tigers,Comerica Park,,04/20/14,04/20/14,06:33 AM,06:33 AM,FALSE,TRUE,04/20/14,02:33 AM,02:33 AM,FREE,BUSY
