START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/31/14,12:08 PM,01:08 PM,Royals at Tigers,Comerica Park,,03/31/14,03/31/14,03:08 PM,04:08 PM,FALSE,TRUE,03/31/14,11:08 AM,12:08 PM,FREE,BUSY
04/02/14,12:08 PM,01:08 PM,Royals at Tigers,Comerica Park,,04/02/14,04/02/14,03:08 PM,04:08 PM,FALSE,TRUE,04/02/14,11:08 AM,12:08 PM,FREE,BUSY
04/03/14,12:08 PM,01:08 PM,Royals at Tigers,Comerica Park,,04/03/14,04/03/14,03:08 PM,04:08 PM,FALSE,TRUE,04/03/14,11:08 AM,12:08 PM,FREE,BUSY
04/04/14,03:10 PM,04:10 PM,White Sox at Royals,Kauffman Stadium,,04/04/14,04/04/14,06:10 PM,07:10 PM,FALSE,TRUE,04/04/14,02:10 PM,03:10 PM,FREE,BUSY
04/05/14,01:10 PM,02:10 PM,White Sox at Royals,Kauffman Stadium,,04/05/14,04/05/14,04:10 PM,05:10 PM,FALSE,TRUE,04/05/14,12:10 PM,01:10 PM,FREE,BUSY
04/06/14,01:10 PM,02:10 PM,White Sox at Royals,Kauffman Stadium,,04/06/14,04/06/14,04:10 PM,05:10 PM,FALSE,TRUE,04/06/14,12:10 PM,01:10 PM,FREE,BUSY
04/07/14,07:10 PM,08:10 PM,Rays at Royals,Kauffman Stadium,,04/07/14,04/07/14,10:10 PM,11:10 PM,FALSE,TRUE,04/07/14,06:10 PM,07:10 PM,FREE,BUSY
04/08/14,07:10 PM,08:10 PM,Rays at Royals,Kauffman Stadium,,04/08/14,04/08/14,10:10 PM,11:10 PM,FALSE,TRUE,04/08/14,06:10 PM,07:10 PM,FREE,BUSY
04/09/14,01:10 PM,02:10 PM,Rays at Royals,Kauffman Stadium,,04/09/14,04/09/14,04:10 PM,05:10 PM,FALSE,TRUE,04/09/14,12:10 PM,01:10 PM,FREE,BUSY
04/11/14,07:10 PM,08:10 PM,Royals at Twins,Target Field,,04/11/14,04/11/14,10:10 PM,11:10 PM,FALSE,TRUE,04/11/14,06:10 PM,07:10 PM,FREE,BUSY
04/12/14,01:10 PM,02:10 PM,Royals at Twins,Target Field,,04/12/14,04/12/14,04:10 PM,05:10 PM,FALSE,TRUE,04/12/14,12:10 PM,01:10 PM,FREE,BUSY
04/13/14,01:10 PM,02:10 PM,Royals at Twins,Target Field,,04/13/14,04/13/14,04:10 PM,05:10 PM,FALSE,TRUE,04/13/14,12:10 PM,01:10 PM,FREE,BUSY
04/15/14,07:10 PM,08:10 PM,Royals at Astros,Minute Maid Park,,04/15/14,04/15/14,10:10 PM,11:10 PM,FALSE,TRUE,04/15/14,06:10 PM,07:10 PM,FREE,BUSY
